task,method,image_name,psnr,psnr_y,lpips
inpaint,pnp_gaussian,1 (1).jpeg,28.2514,,0.1991
inpaint,pnp_gaussian,1 (1).jpg,27.6428,,0.2329
inpaint,pnp_gaussian,1 (1).png,26.5214,,0.1966
inpaint,pnp_gaussian,1 (10).jpeg,28.6161,,0.2382
inpaint,pnp_gaussian,1 (10).jpg,29.3394,,0.2242
inpaint,pnp_gaussian,1 (10).png,27.0256,,0.2648
inpaint,pnp_gaussian,1 (100).jpg,27.3192,,0.2461
inpaint,pnp_gaussian,1 (100).png,26.6393,,0.2343
inpaint,pnp_gaussian,1 (1000).jpg,24.6073,,0.1799
inpaint,pnp_gaussian,1 (1001).jpg,28.1227,,0.1856
inpaint,pnp_gaussian,1 (1002).jpg,27.8419,,0.1754
inpaint,pnp_gaussian,1 (1003).jpg,29.1687,,0.1908
inpaint,pnp_gaussian,1 (1004).jpg,29.3012,,0.2025
inpaint,pnp_gaussian,1 (1005).jpg,29.8816,,0.1810
inpaint,pnp_gaussian,1 (1006).jpg,30.5230,,0.2232
inpaint,pnp_gaussian,1 (1007).jpg,31.9974,,0.2202
inpaint,pnp_gaussian,1 (1008).jpg,28.4570,,0.2291
inpaint,pnp_gaussian,1 (1009).jpg,29.9514,,0.2278
inpaint,pnp_gaussian,1 (101).jpg,26.7628,,0.2448
inpaint,pnp_gaussian,1 (101).png,28.4646,,0.2375
inpaint,pnp_gaussian,1 (1010).jpg,27.7302,,0.2264
inpaint,pnp_gaussian,1 (1011).jpg,27.6834,,0.2309
inpaint,pnp_gaussian,1 (1012).jpg,27.8607,,0.2555
inpaint,pnp_gaussian,1 (1013).jpg,26.6476,,0.1891
inpaint,pnp_gaussian,1 (1014).jpg,24.5317,,0.2511
inpaint,pnp_gaussian,1 (1015).jpg,25.3544,,0.2053
inpaint,pnp_gaussian,1 (1016).jpg,28.4971,,0.2138
inpaint,pnp_gaussian,1 (1017).jpg,29.4555,,0.2260
inpaint,pnp_gaussian,1 (1018).jpg,25.6952,,0.2625
inpaint,pnp_gaussian,1 (1019).jpg,31.7125,,0.1910
inpaint,pnp_gaussian,1 (102).jpg,29.9357,,0.2327
inpaint,pnp_gaussian,1 (102).png,32.2356,,0.2246
inpaint,pnp_gaussian,1 (1020).jpg,23.1602,,0.2697
inpaint,pnp_gaussian,1 (1021).jpg,27.1305,,0.2185
inpaint,pnp_gaussian,1 (1022).jpg,32.0197,,0.1743
inpaint,pnp_gaussian,1 (1023).jpg,32.4075,,0.1916
inpaint,pnp_gaussian,1 (1024).jpg,30.0086,,0.2273
inpaint,pnp_gaussian,1 (1025).jpg,29.9703,,0.2145
inpaint,pnp_gaussian,1 (1026).jpg,30.0086,,0.2273
inpaint,pnp_gaussian,1 (1027).jpg,26.2000,,0.1914
inpaint,pnp_gaussian,1 (1028).jpg,31.6376,,0.2400
inpaint,pnp_gaussian,1 (1029).jpg,27.5338,,0.2298
inpaint,pnp_gaussian,1 (103).jpg,28.4957,,0.2209
inpaint,pnp_gaussian,1 (103).png,34.4359,,0.2271
inpaint,pnp_gaussian,1 (1030).jpg,28.1879,,0.1804
inpaint,pnp_gaussian,1 (1031).jpg,33.9020,,0.1835
